OrderNumber,"Sales Channel",WarehouseCode,CurrencyCode,SalesTeamID,CustomerID,StoreID,ProductID,"Order Quantity","Discount Applied",ProcuredDate,OrderDate,ShipDate,DeliveryDate,"Unit Cost","Unit Price"
"SO - 0002491",In-Store,WARE-NMK1003,USD,6,11,143,12,7,0.15,2018-10-27,2019-03-06,2019-03-25,2019-03-30,610.10,1051.90
"SO - 0002492",Wholesale,WARE-NMK1003,USD,25,31,126,3,4,0.05,2018-10-27,2019-03-06,2019-03-08,2019-03-11,1201.18,2224.40
"SO - 0002493",In-Store,WARE-MKL1006,USD,4,49,351,6,2,0.05,2018-10-27,2019-03-06,2019-03-28,2019-04-02,674.29,911.20
"SO - 0002494",In-Store,WARE-UHY1004,USD,5,37,230,32,8,0.08,2018-10-27,2019-03-07,2019-03-10,2019-03-20,450.24,1072.00
"SO - 0002495",Distributor,WARE-NMK1003,USD,22,39,106,16,6,0.05,2018-10-27,2019-03-07,2019-04-03,2019-04-08,1381.47,1748.70
"SO - 0002496",In-Store,WARE-PUJ1005,USD,7,28,264,46,5,0.1,2018-10-27,2019-03-07,2019-03-27,2019-04-04,2102.06,2532.60
"SO - 0002497",Online,WARE-PUJ1005,USD,12,32,315,1,8,0.3,2018-10-27,2019-03-07,2019-03-13,2019-03-15,849.90,1976.50
"SO - 0002498",Distributor,WARE-XYS1001,USD,23,30,36,12,1,0.05,2018-10-27,2019-03-07,2019-03-24,2019-03-31,1413.03,1909.50
"SO - 0002499",Online,WARE-UHY1004,USD,17,35,215,46,5,0.08,2018-10-27,2019-03-08,2019-03-28,2019-04-03,917.36,1092.10
"SO - 0002500",Online,WARE-MKL1006,USD,17,25,344,13,2,0.1,2018-10-27,2019-03-08,2019-03-21,2019-03-23,519.38,1018.40
"SO - 0002501",Wholesale,WARE-XYS1001,USD,28,4,44,43,5,0.1,2018-10-27,2019-03-08,2019-03-25,2019-03-31,574.06,844.20
"SO - 0002502",In-Store,WARE-PUJ1005,USD,10,42,297,23,5,0.1,2018-10-27,2019-03-08,2019-03-31,2019-04-03,2637.12,6432.00
"SO - 0002503",Online,WARE-NBV1002,USD,14,37,81,39,7,0.3,2018-10-27,2019-03-08,2019-03-13,2019-03-23,765.41,1125.60
"SO - 0002504",Online,WARE-MKL1006,USD,20,22,365,19,3,0.15,2018-10-27,2019-03-08,2019-03-23,2019-03-29,790.60,1976.50
"SO - 0002505",Online,WARE-NMK1003,USD,15,18,117,35,1,0.05,2018-10-27,2019-03-08,2019-03-21,2019-03-28,607.82,1125.60
"SO - 0002506",In-Store,WARE-NMK1003,USD,10,44,122,27,7,0.05,2018-10-27,2019-03-08,2019-03-26,2019-04-04,896.86,1949.70
"SO - 0002507",Wholesale,WARE-NMK1003,USD,28,7,191,3,3,0.05,2018-10-27,2019-03-08,2019-03-19,2019-03-29,1876.00,2345.00
"SO - 0002508",In-Store,WARE-PUJ1005,USD,1,48,262,20,7,0.08,2018-10-27,2019-03-08,2019-04-02,2019-04-03,1279.63,1802.30
"SO - 0002509",Online,WARE-UHY1004,USD,13,41,206,31,2,0.05,2018-10-27,2019-03-08,2019-03-12,2019-03-20,105.06,214.40
"SO - 0002510",In-Store,WARE-UHY1004,USD,1,34,249,7,6,0.05,2018-10-27,2019-03-08,2019-03-19,2019-03-23,1263.49,3008.30
"SO - 0002511",Distributor,WARE-NMK1003,USD,21,28,197,29,8,0.05,2018-10-27,2019-03-09,2019-03-15,2019-03-16,827.72,1165.80
"SO - 0002512",Online,WARE-PUJ1005,USD,17,22,276,10,5,0.05,2018-10-27,2019-03-09,2019-03-15,2019-03-18,412.72,1031.80
"SO - 0002513",Online,WARE-NMK1003,USD,16,21,155,18,2,0.08,2018-10-27,2019-03-09,2019-04-05,2019-04-09,1016.66,1882.70
"SO - 0002514",Online,WARE-NMK1003,USD,19,1,152,5,1,0.08,2018-10-27,2019-03-09,2019-03-23,2019-03-31,743.43,1018.40
"SO - 0002515",In-Store,WARE-UHY1004,USD,7,14,228,28,2,0.1,2018-10-27,2019-03-09,2019-03-13,2019-03-19,3027.60,3832.40
"SO - 0002516",In-Store,WARE-PUJ1005,USD,1,17,322,40,8,0.08,2018-10-27,2019-03-09,2019-04-05,2019-04-12,2172.88,5299.70
"SO - 0002517",Online,WARE-NBV1002,USD,19,39,60,40,4,0.2,2018-10-27,2019-03-09,2019-03-30,2019-04-08,2917.72,3839.10
"SO - 0002518",In-Store,WARE-XYS1001,USD,10,48,26,32,6,0.15,2018-10-27,2019-03-10,2019-03-19,2019-03-25,763.53,991.60
"SO - 0002519",Online,WARE-NMK1003,USD,17,31,90,9,7,0.08,2018-10-27,2019-03-10,2019-03-13,2019-03-23,136.01,234.50
"SO - 0002520",Wholesale,WARE-NMK1003,USD,28,48,177,22,3,0.05,2018-10-27,2019-03-10,2019-03-14,2019-03-18,604.34,1098.80
"SO - 0002521",Online,WARE-NBV1002,USD,19,5,68,7,2,0.1,2018-10-27,2019-03-10,2019-03-16,2019-03-26,117.18,221.10
"SO - 0002522",Distributor,WARE-PUJ1005,USD,23,33,284,34,7,0.3,2018-10-27,2019-03-10,2019-03-25,2019-04-02,110.08,207.70
"SO - 0002523",Distributor,WARE-XYS1001,USD,24,37,32,27,5,0.08,2018-10-27,2019-03-11,2019-04-06,2019-04-14,1639.96,3999.90
"SO - 0002524",Online,WARE-NMK1003,USD,18,13,124,1,6,0.1,2018-10-27,2019-03-11,2019-03-23,2019-04-01,1455.04,2552.70
"SO - 0002525",Wholesale,WARE-PUJ1005,USD,26,30,262,27,2,0.2,2018-10-27,2019-03-11,2019-04-03,2019-04-13,2816.14,3966.40
"SO - 0002526",Distributor,WARE-XYS1001,USD,22,17,53,17,3,0.1,2019-02-04,2019-03-11,2019-03-15,2019-03-22,850.36,1118.90
"SO - 0002527",In-Store,WARE-NMK1003,USD,3,23,132,11,1,0.15,2018-10-27,2019-03-11,2019-04-08,2019-04-12,905.10,1145.70
"SO - 0002528",Online,WARE-UHY1004,USD,16,50,230,31,2,0.08,2018-10-27,2019-03-11,2019-03-30,2019-04-02,1407.40,2606.30
"SO - 0002529",Online,WARE-PUJ1005,USD,15,49,284,4,6,0.1,2018-10-27,2019-03-11,2019-03-13,2019-03-20,2228.35,2820.70
"SO - 0002530",In-Store,WARE-NMK1003,USD,11,31,157,35,4,0.05,2018-10-27,2019-03-11,2019-03-27,2019-03-30,1228.78,1755.40
"SO - 0002531",In-Store,WARE-NMK1003,USD,11,27,140,21,7,0.08,2018-10-27,2019-03-11,2019-03-29,2019-04-03,706.18,1139.00
"SO - 0002532",Online,WARE-NBV1002,USD,20,8,74,3,3,0.2,2018-10-27,2019-03-11,2019-03-15,2019-03-16,4173.36,5152.30
"SO - 0002533",In-Store,WARE-NMK1003,USD,8,19,139,45,6,0.2,2018-10-27,2019-03-11,2019-04-05,2019-04-12,3027.60,3832.40
"SO - 0002534",Distributor,WARE-PUJ1005,USD,22,48,326,10,7,0.08,2018-10-27,2019-03-12,2019-04-04,2019-04-11,1325.46,1815.70
"SO - 0002535",Online,WARE-NMK1003,USD,14,9,153,5,6,0.05,2018-10-27,2019-03-12,2019-03-17,2019-03-22,2840.80,5360.00
"SO - 0002536",Distributor,WARE-XYS1001,USD,25,30,33,9,8,0.1,2018-10-27,2019-03-13,2019-04-02,2019-04-04,783.23,1118.90
"SO - 0002537",Online,WARE-MKL1006,USD,18,18,363,28,8,0.08,2018-10-27,2019-03-13,2019-03-19,2019-03-22,2003.57,3577.80
"SO - 0002538",In-Store,WARE-NMK1003,USD,6,23,169,25,1,0.3,2019-02-04,2019-03-13,2019-04-05,2019-04-12,1686.26,3832.40
"SO - 0002539",Wholesale,WARE-PUJ1005,USD,28,30,270,30,1,0.08,2018-10-27,2019-03-13,2019-04-09,2019-04-12,867.52,1112.20
"SO - 0002540",In-Store,WARE-NMK1003,USD,7,42,103,10,3,0.1,2018-10-27,2019-03-13,2019-03-21,2019-03-26,2272.98,3852.50
"SO - 0002541",Wholesale,WARE-NBV1002,USD,27,14,80,35,5,0.08,2018-10-27,2019-03-13,2019-03-15,2019-03-23,92.26,180.90
"SO - 0002542",In-Store,WARE-UHY1004,USD,3,44,228,26,3,0.2,2018-10-27,2019-03-14,2019-03-17,2019-03-22,2629.42,5594.50
"SO - 0002543",Distributor,WARE-MKL1006,USD,24,5,353,18,3,0.15,2018-10-27,2019-03-14,2019-03-21,2019-03-25,2587.81,3644.80
"SO - 0002544",In-Store,WARE-PUJ1005,USD,5,19,265,37,1,0.15,2018-10-27,2019-03-14,2019-03-26,2019-03-29,1028.79,1239.50
"SO - 0002545",In-Store,WARE-PUJ1005,USD,2,42,285,41,6,0.08,2018-10-27,2019-03-14,2019-04-07,2019-04-15,441.66,690.10
"SO - 0002546",Online,WARE-NMK1003,USD,19,44,200,46,2,0.15,2018-10-27,2019-03-14,2019-03-27,2019-04-02,703.50,837.50
"SO - 0002547",Distributor,WARE-UHY1004,USD,25,10,235,1,1,0.05,2018-10-27,2019-03-14,2019-03-17,2019-03-26,1549.11,2458.90
"SO - 0002548",In-Store,WARE-UHY1004,USD,6,46,219,19,2,0.05,2019-02-04,2019-03-14,2019-03-21,2019-03-25,1576.78,1922.90
"SO - 0002549",Wholesale,WARE-UHY1004,USD,26,48,252,35,6,0.05,2018-10-27,2019-03-14,2019-03-19,2019-03-20,2323.56,3872.60
"SO - 0002550",Online,WARE-NMK1003,USD,13,31,178,22,6,0.1,2018-10-27,2019-03-14,2019-04-02,2019-04-05,1337.86,1715.20
"SO - 0002551",Online,WARE-XYS1001,USD,19,6,24,18,8,0.4,2018-10-27,2019-03-15,2019-03-23,2019-03-28,1929.60,3859.20
"SO - 0002552",Online,WARE-PUJ1005,USD,16,5,304,6,3,0.08,2018-10-27,2019-03-15,2019-03-20,2019-03-29,1829.57,3892.70
"SO - 0002553",Distributor,WARE-PUJ1005,USD,21,39,265,21,6,0.05,2018-10-27,2019-03-15,2019-03-30,2019-04-05,890.03,1085.40
"SO - 0002554",In-Store,WARE-NMK1003,USD,11,18,156,46,1,0.3,2018-10-27,2019-03-15,2019-03-29,2019-04-08,409.77,931.30
"SO - 0002555",Distributor,WARE-NMK1003,USD,23,26,132,20,5,0.08,2018-10-27,2019-03-15,2019-03-28,2019-04-06,733.25,1145.70
"SO - 0002556",Online,WARE-PUJ1005,USD,18,17,317,29,1,0.4,2018-10-27,2019-03-15,2019-03-20,2019-03-21,986.17,2405.30
"SO - 0002557",In-Store,WARE-XYS1001,USD,8,4,45,17,6,0.1,2018-10-27,2019-03-15,2019-03-20,2019-03-22,1843.04,4006.60
"SO - 0002558",Wholesale,WARE-MKL1006,USD,26,32,351,14,8,0.15,2018-10-27,2019-03-15,2019-03-17,2019-03-22,106.53,201.00
"SO - 0002559",In-Store,WARE-PUJ1005,USD,6,17,295,26,2,0.4,2018-10-27,2019-03-15,2019-03-17,2019-03-25,170.85,227.80
"SO - 0002560",Distributor,WARE-UHY1004,USD,22,1,245,12,1,0.15,2019-02-04,2019-03-15,2019-03-17,2019-03-22,1845.98,3845.80
"SO - 0002561",In-Store,WARE-NMK1003,USD,5,39,201,32,8,0.2,2018-10-27,2019-03-15,2019-03-29,2019-04-06,2295.42,3825.70
"SO - 0002562",Online,WARE-NMK1003,USD,15,24,157,43,5,0.08,2019-02-04,2019-03-16,2019-04-07,2019-04-08,2287.58,4013.30
"SO - 0002563",Distributor,WARE-NMK1003,USD,20,7,152,4,1,0.15,2018-10-27,2019-03-16,2019-03-24,2019-03-26,201.20,261.30
"SO - 0002564",Online,WARE-XYS1001,USD,12,43,2,28,6,0.15,2018-10-27,2019-03-16,2019-04-01,2019-04-03,103.85,167.50
"SO - 0002565",Distributor,WARE-NMK1003,USD,25,42,97,1,1,0.08,2018-10-27,2019-03-16,2019-04-10,2019-04-18,709.13,1125.60
"SO - 0002566",Online,WARE-NMK1003,USD,12,45,122,6,6,0.08,2018-10-27,2019-03-16,2019-04-07,2019-04-17,2176.83,3819.00
"SO - 0002567",In-Store,WARE-PUJ1005,USD,2,23,284,4,8,0.1,2018-10-27,2019-03-16,2019-04-07,2019-04-11,3163.20,5453.80
"SO - 0002568",Online,WARE-MKL1006,USD,14,27,348,5,8,0.1,2018-10-27,2019-03-16,2019-04-05,2019-04-11,1191.53,2291.40
"SO - 0002569",Online,WARE-UHY1004,USD,19,13,227,13,2,0.1,2018-10-27,2019-03-16,2019-04-02,2019-04-11,1321.58,1762.10
"SO - 0002570",Online,WARE-MKL1006,USD,13,32,350,11,1,0.05,2019-02-04,2019-03-17,2019-04-08,2019-04-12,428.26,911.20
"SO - 0002571",Wholesale,WARE-XYS1001,USD,28,27,37,13,4,0.15,2018-10-27,2019-03-17,2019-04-02,2019-04-12,1641.17,2311.50
"SO - 0002572",Distributor,WARE-UHY1004,USD,22,29,238,5,6,0.15,2019-02-04,2019-03-17,2019-03-20,2019-03-24,4471.85,6210.90
"SO - 0002573",Distributor,WARE-PUJ1005,USD,23,22,268,37,3,0.05,2018-10-27,2019-03-17,2019-04-08,2019-04-17,4351.25,5306.40
"SO - 0002574",In-Store,WARE-NMK1003,USD,11,14,91,15,2,0.1,2018-10-27,2019-03-17,2019-04-03,2019-04-07,1863.40,2740.30
"SO - 0002575",Online,WARE-UHY1004,USD,19,15,216,18,1,0.08,2018-10-27,2019-03-17,2019-04-04,2019-04-05,906.31,1118.90
"SO - 0002576",Wholesale,WARE-NMK1003,USD,27,29,125,46,2,0.08,2019-02-04,2019-03-17,2019-03-31,2019-04-03,725.21,1098.80
"SO - 0002577",In-Store,WARE-NMK1003,USD,3,41,164,35,8,0.15,2018-10-27,2019-03-18,2019-03-29,2019-04-06,795.22,958.10
"SO - 0002578",In-Store,WARE-MKL1006,USD,6,18,362,42,3,0.4,2018-10-27,2019-03-18,2019-04-06,2019-04-07,4911.90,6217.60
"SO - 0002579",In-Store,WARE-MKL1006,USD,6,28,358,30,7,0.08,2019-02-04,2019-03-18,2019-04-03,2019-04-06,559.92,917.90
"SO - 0002580",Online,WARE-UHY1004,USD,16,22,227,30,3,0.08,2018-10-27,2019-03-18,2019-04-06,2019-04-13,554.83,1132.30
"SO - 0002581",Distributor,WARE-NMK1003,USD,22,30,198,38,6,0.15,2018-10-27,2019-03-18,2019-03-21,2019-03-24,830.60,1695.10
"SO - 0002582",Wholesale,WARE-XYS1001,USD,28,4,57,2,8,0.1,2018-10-27,2019-03-18,2019-04-08,2019-04-18,798.64,998.30
"SO - 0002583",Distributor,WARE-NMK1003,USD,21,20,138,25,5,0.05,2018-10-27,2019-03-18,2019-04-12,2019-04-14,867.92,1701.80
"SO - 0002584",In-Store,WARE-MKL1006,USD,11,9,351,7,3,0.1,2018-10-27,2019-03-18,2019-03-29,2019-03-30,707.32,1025.10
"SO - 0002585",In-Store,WARE-NBV1002,USD,8,46,63,45,3,0.05,2019-02-04,2019-03-18,2019-03-30,2019-04-09,203.81,261.30
"SO - 0002586",Distributor,WARE-UHY1004,USD,24,45,214,37,1,0.08,2018-10-27,2019-03-18,2019-04-03,2019-04-13,611.58,1092.10
"SO - 0002587",Online,WARE-NMK1003,USD,12,48,131,39,7,0.08,2018-10-27,2019-03-19,2019-04-12,2019-04-17,227.80,268.00
"SO - 0002588",Wholesale,WARE-NMK1003,USD,28,34,166,36,3,0.05,2018-10-27,2019-03-19,2019-04-14,2019-04-23,1067.51,2271.30
"SO - 0002589",Distributor,WARE-UHY1004,USD,21,4,217,35,4,0.1,2018-10-27,2019-03-19,2019-03-25,2019-04-04,405.22,723.60
"SO - 0002590",Wholesale,WARE-PUJ1005,USD,26,32,309,31,1,0.05,2018-10-27,2019-03-19,2019-04-12,2019-04-19,4169.68,5634.70
"SO - 0002591",Wholesale,WARE-NMK1003,USD,25,18,101,40,1,0.05,2018-10-27,2019-03-19,2019-04-01,2019-04-05,788.99,1715.20
"SO - 0002592",Online,WARE-PUJ1005,USD,15,47,319,8,6,0.08,2019-02-04,2019-03-19,2019-04-16,2019-04-18,774.65,944.70
"SO - 0002593",In-Store,WARE-XYS1001,USD,11,11,32,27,1,0.08,2019-02-04,2019-03-19,2019-03-28,2019-04-06,1626.49,2391.90
"SO - 0002594",In-Store,WARE-NMK1003,USD,5,36,139,21,2,0.05,2018-10-27,2019-03-19,2019-04-02,2019-04-09,1140.21,1701.80
"SO - 0002595",Distributor,WARE-PUJ1005,USD,24,44,308,44,8,0.1,2018-10-27,2019-03-20,2019-04-04,2019-04-09,2845.89,3470.60
"SO - 0002596",Wholesale,WARE-PUJ1005,USD,27,19,323,36,4,0.1,2018-10-27,2019-03-20,2019-04-01,2019-04-11,692.24,844.20
"SO - 0002597",In-Store,WARE-NBV1002,USD,11,5,68,18,6,0.08,2018-10-27,2019-03-20,2019-03-30,2019-03-31,1074.55,1326.60
"SO - 0002598",Online,WARE-MKL1006,USD,20,34,338,17,4,0.08,2019-02-04,2019-03-20,2019-04-03,2019-04-04,1762.90,4006.60
"SO - 0002599",In-Store,WARE-MKL1006,USD,1,23,349,14,6,0.08,2018-10-27,2019-03-21,2019-04-17,2019-04-24,637.57,1045.20
"SO - 0002600",In-Store,WARE-UHY1004,USD,6,28,221,26,5,0.08,2019-02-04,2019-03-21,2019-04-03,2019-04-08,1326.60,2653.20
"SO - 0002601",Online,WARE-XYS1001,USD,19,9,43,27,3,0.08,2018-10-27,2019-03-21,2019-04-18,2019-04-27,3375.46,6137.20
"SO - 0002602",In-Store,WARE-XYS1001,USD,2,48,35,16,6,0.08,2019-02-04,2019-03-21,2019-04-18,2019-04-27,1514.20,3785.50
"SO - 0002603",In-Store,WARE-PUJ1005,USD,8,17,284,46,3,0.05,2018-10-27,2019-03-21,2019-03-27,2019-04-01,2170.20,3557.70
"SO - 0002604",Distributor,WARE-NMK1003,USD,21,48,126,46,1,0.05,2018-10-27,2019-03-22,2019-03-31,2019-04-04,3356.10,5688.30
"SO - 0002605",Online,WARE-NMK1003,USD,15,47,186,4,3,0.3,2018-10-27,2019-03-22,2019-04-05,2019-04-15,153.70,247.90
"SO - 0002606",In-Store,WARE-NMK1003,USD,7,44,123,28,7,0.05,2019-02-04,2019-03-22,2019-04-08,2019-04-10,125.69,187.60
"SO - 0002607",Wholesale,WARE-XYS1001,USD,26,5,26,6,2,0.05,2018-10-27,2019-03-22,2019-04-13,2019-04-15,1331.02,1728.60
"SO - 0002608",Online,WARE-UHY1004,USD,18,14,232,10,2,0.08,2018-10-27,2019-03-22,2019-03-27,2019-04-06,706.65,1333.30
"SO - 0002609",Distributor,WARE-NMK1003,USD,22,25,122,39,3,0.05,2018-10-27,2019-03-22,2019-03-27,2019-03-28,471.68,857.60
"SO - 0002610",In-Store,WARE-XYS1001,USD,4,49,7,22,4,0.2,2018-10-27,2019-03-23,2019-04-17,2019-04-22,751.34,1788.90
"SO - 0002611",Online,WARE-PUJ1005,USD,14,39,286,22,8,0.15,2018-10-27,2019-03-23,2019-04-01,2019-04-11,922.19,1246.20
"SO - 0002612",In-Store,WARE-NMK1003,USD,9,33,176,22,3,0.05,2018-10-27,2019-03-23,2019-04-03,2019-04-08,854.25,1139.00
"SO - 0002613",Distributor,WARE-XYS1001,USD,22,20,48,14,3,0.2,2018-10-27,2019-03-23,2019-04-01,2019-04-08,1385.69,2566.10
"SO - 0002614",In-Store,WARE-PUJ1005,USD,10,21,314,24,7,0.08,2018-10-27,2019-03-23,2019-04-03,2019-04-13,489.37,1112.20
"SO - 0002615",Online,WARE-PUJ1005,USD,16,17,305,9,6,0.1,2018-10-27,2019-03-23,2019-04-07,2019-04-12,871.34,1025.10
"SO - 0002616",In-Store,WARE-PUJ1005,USD,4,23,327,42,8,0.1,2019-02-04,2019-03-23,2019-04-15,2019-04-20,91.92,187.60
"SO - 0002617",In-Store,WARE-NMK1003,USD,8,34,163,23,5,0.2,2019-02-04,2019-03-23,2019-03-29,2019-04-08,4698.38,6264.50
"SO - 0002618",In-Store,WARE-NMK1003,USD,2,43,194,39,5,0.05,2018-10-27,2019-03-23,2019-03-30,2019-03-31,125.42,174.20
"SO - 0002619",Wholesale,WARE-NMK1003,USD,26,24,89,40,6,0.08,2018-10-27,2019-03-23,2019-04-14,2019-04-17,2180.65,3825.70
"SO - 0002620",Distributor,WARE-UHY1004,USD,24,2,234,17,5,0.15,2019-02-04,2019-03-23,2019-04-10,2019-04-18,738.07,1025.10
"SO - 0002621",Distributor,WARE-NMK1003,USD,24,12,193,1,3,0.4,2018-10-27,2019-03-24,2019-04-19,2019-04-20,665.18,978.20
"SO - 0002622",In-Store,WARE-UHY1004,USD,7,19,213,29,8,0.1,2018-10-27,2019-03-24,2019-04-01,2019-04-02,2766.30,5319.80
"SO - 0002623",Wholesale,WARE-NMK1003,USD,26,20,159,30,8,0.15,2018-10-27,2019-03-24,2019-03-29,2019-04-02,1177.66,1869.30
"SO - 0002624",Online,WARE-NMK1003,USD,15,50,96,37,5,0.05,2018-10-27,2019-03-24,2019-04-20,2019-04-30,911.74,1085.40
"SO - 0002625",In-Store,WARE-NMK1003,USD,7,22,110,25,4,0.05,2019-02-04,2019-03-24,2019-04-09,2019-04-19,503.84,1072.00
"SO - 0002626",In-Store,WARE-UHY1004,USD,5,42,208,46,2,0.2,2019-02-04,2019-03-24,2019-03-29,2019-03-30,216.88,261.30
"SO - 0002627",In-Store,WARE-PUJ1005,USD,3,8,299,47,1,0.15,2018-10-27,2019-03-24,2019-04-18,2019-04-26,3091.11,3912.80
"SO - 0002628",Online,WARE-NMK1003,USD,13,25,132,23,6,0.15,2019-02-04,2019-03-24,2019-04-16,2019-04-18,1176.25,2673.30
"SO - 0002629",In-Store,WARE-NMK1003,USD,8,41,202,16,2,0.05,2018-10-27,2019-03-24,2019-03-30,2019-04-02,553.96,1045.20
"SO - 0002630",Wholesale,WARE-NMK1003,USD,28,16,159,5,3,0.4,2019-02-04,2019-03-24,2019-04-01,2019-04-05,1061.28,2412.00
"SO - 0002631",In-Store,WARE-UHY1004,USD,5,4,221,14,1,0.05,2018-10-27,2019-03-25,2019-04-01,2019-04-05,417.54,1018.40
"SO - 0002632",Online,WARE-XYS1001,USD,18,46,29,45,5,0.2,2018-10-27,2019-03-25,2019-04-02,2019-04-07,1896.64,2257.90
"SO - 0002633",Online,WARE-NMK1003,USD,20,15,143,13,7,0.1,2018-10-27,2019-03-25,2019-04-18,2019-04-28,2297.16,2907.80
"SO - 0002634",Wholesale,WARE-NBV1002,USD,26,46,61,22,6,0.08,2018-10-27,2019-03-25,2019-03-29,2019-03-31,585.31,1125.60
"SO - 0002635",In-Store,WARE-MKL1006,USD,3,21,334,38,2,0.08,2018-10-27,2019-03-25,2019-03-28,2019-04-06,525.28,1072.00
"SO - 0002636",In-Store,WARE-MKL1006,USD,10,38,330,37,5,0.1,2018-10-27,2019-03-25,2019-04-06,2019-04-15,1139.67,1809.00
"SO - 0002637",Online,WARE-MKL1006,USD,19,22,349,43,3,0.1,2019-02-04,2019-03-25,2019-04-13,2019-04-15,533.05,1025.10
"SO - 0002638",In-Store,WARE-UHY1004,USD,3,38,246,24,3,0.3,2018-10-27,2019-03-26,2019-04-14,2019-04-23,1976.50,3953.00
"SO - 0002639",In-Store,WARE-XYS1001,USD,12,19,26,6,8,0.08,2018-10-27,2019-03-26,2019-04-16,2019-04-21,2016.03,2371.80
"SO - 0002640",Distributor,WARE-UHY1004,USD,24,39,233,40,8,0.05,2018-10-27,2019-03-26,2019-04-20,2019-04-30,1462.21,2358.40
"SO - 0002641",In-Store,WARE-NMK1003,USD,3,2,127,42,2,0.1,2019-02-04,2019-03-26,2019-04-12,2019-04-21,1620.06,2613.00
"SO - 0002642",Online,WARE-MKL1006,USD,12,13,341,17,3,0.1,2019-02-04,2019-03-26,2019-03-28,2019-04-03,452.25,904.50
"SO - 0002643",In-Store,WARE-NBV1002,USD,1,12,78,26,3,0.15,2018-10-27,2019-03-26,2019-04-23,2019-04-24,584.31,1025.10
"SO - 0002644",Online,WARE-UHY1004,USD,16,18,260,38,2,0.1,2018-10-27,2019-03-26,2019-03-31,2019-04-07,2504.13,3852.50
"SO - 0002645",Online,WARE-PUJ1005,USD,13,48,319,25,3,0.15,2018-10-27,2019-03-26,2019-04-08,2019-04-18,95.68,227.80
"SO - 0002646",Wholesale,WARE-NMK1003,USD,27,32,138,3,4,0.05,2019-02-04,2019-03-26,2019-03-29,2019-04-01,1618.05,2345.00
"SO - 0002647",Wholesale,WARE-XYS1001,USD,27,44,34,42,5,0.1,2019-02-04,2019-03-26,2019-03-29,2019-04-03,787.92,1969.80
"SO - 0002648",Online,WARE-UHY1004,USD,13,11,245,38,5,0.05,2018-10-27,2019-03-27,2019-04-01,2019-04-02,1293.10,2586.20
"SO - 0002649",Distributor,WARE-NMK1003,USD,23,10,162,38,7,0.05,2019-02-04,2019-03-27,2019-04-16,2019-04-21,3736.59,5748.60
"SO - 0002650",Wholesale,WARE-NMK1003,USD,28,36,199,35,3,0.08,2019-02-04,2019-03-27,2019-04-14,2019-04-16,170.25,221.10
"SO - 0002651",Online,WARE-NBV1002,USD,18,24,62,23,1,0.08,2019-02-04,2019-03-27,2019-04-14,2019-04-18,2835.98,3832.40
"SO - 0002652",Online,WARE-MKL1006,USD,13,11,347,15,8,0.3,2019-02-04,2019-03-27,2019-04-23,2019-04-28,4167.74,6411.90
"SO - 0002653",In-Store,WARE-NMK1003,USD,5,12,122,22,3,0.05,2019-02-04,2019-03-28,2019-03-30,2019-04-06,515.90,1031.80
"SO - 0002654",In-Store,WARE-MKL1006,USD,8,45,351,14,7,0.1,2019-02-04,2019-03-29,2019-04-21,2019-05-01,1603.98,3819.00
"SO - 0002655",In-Store,WARE-MKL1006,USD,2,19,343,23,8,0.05,2019-02-04,2019-03-29,2019-04-11,2019-04-20,985.30,1728.60
"SO - 0002656",In-Store,WARE-PUJ1005,USD,11,25,323,26,4,0.1,2018-10-27,2019-03-29,2019-04-03,2019-04-13,1649.81,2291.40
"SO - 0002657",Distributor,WARE-XYS1001,USD,22,30,33,17,5,0.08,2018-10-27,2019-03-29,2019-04-03,2019-04-11,3205.28,4006.60
"SO - 0002658",Online,WARE-NMK1003,USD,13,20,98,9,3,0.05,2018-10-27,2019-03-29,2019-04-09,2019-04-15,1736.37,3946.30
"SO - 0002659",Distributor,WARE-NMK1003,USD,21,20,181,16,1,0.05,2019-02-04,2019-03-29,2019-04-09,2019-04-15,4127.20,5896.00
"SO - 0002660",In-Store,WARE-MKL1006,USD,1,50,357,32,3,0.08,2019-02-04,2019-03-30,2019-04-24,2019-05-01,2013.08,2425.40
"SO - 0002661",In-Store,WARE-PUJ1005,USD,3,33,279,7,6,0.08,2019-02-04,2019-03-30,2019-04-23,2019-04-25,962.39,1145.70
"SO - 0002662",Distributor,WARE-UHY1004,USD,21,44,240,24,7,0.08,2018-10-27,2019-03-30,2019-04-04,2019-04-13,2234.85,3604.60
"SO - 0002663",In-Store,WARE-NMK1003,USD,8,13,141,27,2,0.4,2019-02-04,2019-03-30,2019-04-02,2019-04-08,701.62,1031.80
"SO - 0002664",Online,WARE-NMK1003,USD,14,46,152,34,5,0.15,2018-10-27,2019-03-30,2019-04-03,2019-04-10,2106.48,2633.10
"SO - 0002665",Distributor,WARE-NMK1003,USD,21,39,125,8,8,0.1,2019-02-04,2019-03-30,2019-04-05,2019-04-12,1300.07,2954.70
"SO - 0002666",Distributor,WARE-NMK1003,USD,25,4,163,15,7,0.15,2019-02-04,2019-03-30,2019-04-20,2019-04-30,715.29,1051.90
"SO - 0002667",Distributor,WARE-UHY1004,USD,21,9,244,37,7,0.15,2018-10-27,2019-03-30,2019-04-13,2019-04-18,726.01,864.30
